CompID,CompName,CompRef,ErrorCode,ErrorText,ErrorType,FeederID,GoodPickUps,HammerGW.ts_load,InsertDate,McID,Milliseconds,NozzleNum,NozzleSize,Slot,Station,SubSlot,TimeStamp,Type
076333,002930,0,No error,,1,10511,0,2021-10-29T06:56:02.905Z,2021-10-29T07:57:16.663Z,02,611,0,0,174,32,0,2021-10-29T07:57:16.610Z,null
049198,075897,0,No error,,1,298522,12,2021-10-29T06:56:03.145Z,2021-10-29T07:57:18.710Z,10,513,0,0,194,88,0,2021-10-29T07:57:18.513Z,null
041960,058189,0,No error,,1,86425640,0,2021-10-29T06:56:03.145Z,2021-10-29T07:57:45.443Z,06,433,0,0,27,24,0,2021-10-29T07:57:45.433Z,-1
038137,031878,AC232,8000D701,,0,86425640,0,2021-10-29T06:56:03.145Z,2021-10-29T07:57:50.787Z,03,772,1,8,145,65,0,2021-10-29T07:57:50.773Z,-1
031989,008144,AC231,8000D701,,0,86425640,0,2021-10-29T06:56:03.145Z,2021-10-29T07:57:50.850Z,09,782,1,5,191,36,0,2021-10-29T07:57:50.783Z,-1
010575,075971,AC232,8000D701,,0,86425640,56,2021-10-29T06:56:03.145Z,2021-10-29T07:57:50.913Z,02,792,1,5,52,90,0,2021-10-29T07:57:50.793Z,-1
022692,094799,0,No error,,1,86425640,0,2021-10-29T06:56:03.145Z,2021-10-29T07:57:50.757Z,09,922,0,0,108,65,0,2021-10-29T07:57:50.923Z,-1
031965,047136,0,No error,,1,10511,20,2021-10-29T06:56:03.145Z,2021-10-29T07:57:52.523Z,10,581,0,0,156,23,0,2021-10-29T07:57:52.580Z,null
054986,041592,C1419,8000D701,,0,86204927,62,2021-10-29T06:56:03.145Z,2021-10-29T07:58:45.320Z,02,291,1,8,35,19,0,2021-10-29T07:58:45.290Z,-1
099568,001714,U152,8000D744,,0,12087749,62,2021-10-29T06:56:03.145Z,2021-10-29T07:58:45.820Z,07,833,1,1,128,6,0,2021-10-29T07:58:45.833Z,-1
040568,068675,0,No error,,1,16026486,59,2021-10-29T06:56:03.145Z,2021-10-29T08:00:21.273Z,10,352,0,0,97,56,0,2021-10-29T08:00:21.353Z,-1
066393,005875,0,No error,,1,86499930,0,2021-10-29T06:56:03.145Z,2021-10-29T08:01:32.540Z,07,538,0,0,118,44,0,2021-10-29T08:01:32.537Z,-1
