McID,StatusID,TimeStamp
Machine_4,3,2018-03-11T16:13:51.180Z
Machine_2,52,2018-03-11T16:54:03.507Z
Machine_1,2,2018-03-11T16:57:14.570Z
Machine_2,52,2018-03-11T17:04:11.910Z
Machine_3,2,2018-03-11T17:14:41.723Z
Machine_2,5,2018-03-11T17:19:13.833Z
Machine_2,52,2018-03-11T17:24:28.713Z
Machine_0,5,2018-03-11T17:49:16.157Z
Machine_4,3,2018-03-11T17:58:57.930Z
Machine_2,52,2018-03-11T18:15:10.737Z
Machine_2,52,2018-03-11T18:25:19.140Z
Machine_4,3,2018-03-11T18:30:29.980Z
Machine_2,52,2018-03-11T19:16:01.157Z
Machine_2,52,2018-03-11T19:26:09.563Z
Machine_3,2,2018-03-11T19:31:20.433Z
Machine_4,3,2018-03-11T20:05:06.103Z
Machine_1,2,2018-03-11T21:09:30.957Z
Machine_4,3,2018-03-11T21:29:11.507Z
Machine_2,5,2018-03-11T21:42:01.257Z
Machine_2,52,2018-03-11T21:58:15.623Z
Machine_3,2,2018-03-11T21:58:29.800Z
Machine_3,2,2018-03-11T22:19:32.477Z
Machine_2,52,2018-03-11T22:38:52.277Z
Machine_2,52,2018-03-11T22:43:56.480Z
Machine_3,2,2018-03-11T23:43:37.843Z
Machine_1,2,2018-03-11T23:47:12.553Z
Machine_1,2,2018-03-12T00:08:13.900Z
Machine_2,5,2018-03-12T00:40:44.463Z
Machine_1,0,2018-03-14T16:06:09.077Z
Machine_0,10,2018-03-14T16:07:09.417Z
Machine_3,1,2018-03-14T16:09:34.173Z
Machine_3,2,2018-03-14T16:14:25.703Z
Machine_3,11,2018-03-14T16:17:12.987Z
Machine_2,10,2018-03-14T16:17:15.197Z
Machine_3,1,2018-03-14T16:17:55.987Z
Machine_1,10,2018-03-14T16:19:27.637Z
Machine_0,10,2018-03-14T16:20:10.373Z
Machine_2,10,2018-03-14T16:27:45.900Z
Machine_3,0,2018-03-14T16:28:23.760Z
Machine_2,9,2018-03-14T16:29:47.333Z
Machine_1,10,2018-03-14T16:29:57.083Z
Machine_5,7,2018-03-14T16:30:44.273Z
Machine_1,1,2018-03-14T16:32:42.930Z
Machine_0,0,2018-03-14T16:35:23.130Z
Machine_0,10,2018-03-14T16:35:50.363Z
Machine_5,0,2018-03-14T16:37:06.443Z
Machine_5,7,2018-03-14T16:37:10.067Z
Machine_0,0,2018-03-14T16:38:17.617Z
Machine_2,7,2018-03-14T16:39:24.937Z
Machine_0,7,2018-03-14T16:39:36.797Z
Machine_1,7,2018-03-14T16:39:36.847Z
Machine_3,2,2018-03-14T16:40:18.207Z
Machine_4,9,2018-03-14T16:41:04.897Z
Machine_1,9,2018-03-14T16:42:24.570Z
Machine_0,10,2018-03-14T16:44:53.617Z
Machine_1,1,2018-03-14T16:45:01.217Z
Machine_2,9,2018-03-14T16:48:09.893Z
Machine_1,7,2018-03-14T16:48:29.387Z
Machine_0,7,2018-03-14T16:48:29.413Z
Machine_0,10,2018-03-14T16:50:55.593Z
Machine_0,0,2018-03-14T16:50:55.600Z
Machine_3,8,2018-03-14T16:51:03.633Z
Machine_2,9,2018-03-14T16:51:03.803Z
Machine_3,2,2018-03-14T16:53:03.317Z
Machine_3,7,2018-03-14T16:53:31.273Z
Machine_0,10,2018-03-14T16:53:49.547Z
Machine_2,10,2018-03-14T16:53:55.390Z
Machine_2,10,2018-03-14T16:53:55.983Z
Machine_2,7,2018-03-14T16:53:57.697Z
Machine_3,7,2018-03-14T16:55:41.283Z
Machine_2,8,2018-03-14T16:56:43.067Z
Machine_2,0,2018-03-14T16:56:43.303Z
Machine_2,7,2018-03-14T16:56:52.777Z
Machine_0,10,2018-03-14T16:57:03.973Z
Machine_0,7,2018-03-14T16:57:09.417Z
Machine_4,9,2018-03-14T16:59:32.437Z
Machine_1,1,2018-03-14T16:59:36.563Z
Machine_2,0,2018-03-14T16:59:37.163Z
Machine_1,7,2018-03-14T16:59:59.077Z
Machine_5,1,2018-03-14T17:01:02.077Z
Machine_1,7,2018-03-14T17:02:40.370Z
Machine_1,7,2018-03-14T17:02:46.677Z
Machine_1,1,2018-03-14T17:05:23.357Z
Machine_0,9,2018-03-14T17:06:03.573Z
Machine_0,7,2018-03-14T17:06:07.607Z
Machine_2,10,2018-03-14T17:08:06.433Z
Machine_2,0,2018-03-14T17:08:06.437Z
Machine_2,10,2018-03-14T17:08:06.987Z
Machine_2,10,2018-03-14T17:10:53.570Z
Machine_2,9,2018-03-14T17:13:42.807Z
Machine_1,7,2018-03-14T17:14:02.450Z
Machine_0,7,2018-03-14T17:14:06.603Z
Machine_2,0,2018-03-14T17:16:34.597Z
Machine_2,7,2018-03-14T17:16:36.840Z
Machine_1,1,2018-03-14T17:16:40.173Z
Machine_1,5,2018-03-14T17:17:27.217Z
Machine_3,1,2018-03-14T17:18:54.963Z
Machine_3,7,2018-03-14T17:18:57.173Z
Machine_1,1,2018-03-14T17:20:17.500Z
Machine_2,7,2018-03-14T17:22:25.780Z
Machine_3,7,2018-03-14T17:22:39.027Z
Machine_4,9,2018-03-14T17:23:01.947Z
Machine_0,7,2018-03-14T17:23:09.927Z
Machine_5,8,2018-03-14T17:26:45.333Z
Machine_2,8,2018-03-14T17:28:02.677Z
Machine_3,3,2018-03-14T17:32:31.597Z
Machine_3,2,2018-03-14T17:32:31.800Z
Machine_1,7,2018-03-14T17:32:34.717Z
Machine_5,5,2018-03-14T17:34:47.840Z
Machine_5,7,2018-03-14T17:35:58.480Z
Machine_4,1,2018-03-14T17:39:59.317Z
Machine_5,7,2018-03-14T17:41:28.570Z
Machine_4,9,2018-03-14T17:44:17.393Z
Machine_3,10,2018-03-14T17:44:22.363Z
Machine_5,0,2018-03-14T17:47:02.320Z
Machine_3,0,2018-03-14T17:48:20.113Z
Machine_3,1,2018-03-14T17:52:02.037Z
Machine_1,1,2018-03-14T17:53:30.333Z
Machine_1,9,2018-03-14T17:54:01.597Z
Machine_5,8,2018-03-14T17:55:34.113Z
Machine_5,5,2018-03-14T17:56:29.970Z
Machine_1,1,2018-03-14T17:56:37.310Z
Machine_5,1,2018-03-14T17:58:28.557Z
Machine_2,10,2018-03-14T17:59:23.133Z
Machine_2,9,2018-03-14T17:59:25.513Z
Machine_3,7,2018-03-14T17:59:54.177Z
Machine_5,9,2018-03-14T18:01:30.277Z
Machine_5,7,2018-03-14T18:01:34.287Z
Machine_0,1,2018-03-14T18:01:54.843Z
Machine_3,5,2018-03-14T18:03:50.737Z
Machine_3,3,2018-03-14T18:04:04.620Z
Machine_3,7,2018-03-14T18:04:49.510Z
Machine_1,8,2018-03-14T18:04:50.920Z
Machine_2,5,2018-03-14T18:05:36.613Z
Machine_1,2,2018-03-14T18:06:20.967Z
Machine_0,7,2018-03-14T18:06:36.760Z
Machine_1,7,2018-03-14T18:09:14.580Z
Machine_1,7,2018-03-14T18:11:56.787Z
Machine_2,7,2018-03-14T18:13:53.410Z
Machine_2,7,2018-03-14T18:16:41.297Z
Machine_1,1,2018-03-14T18:21:16.900Z
Machine_2,1,2018-03-14T18:22:48.990Z
Machine_2,8,2018-03-14T18:26:08.363Z
Machine_2,7,2018-03-14T18:26:10.820Z
Machine_1,10,2018-03-14T18:26:20.663Z
