LGORT,MATNR,MEINS,MENGE
SC01,3602147,ZT,6
SC01,9613626,ZT,32
SC01,3619155,ZT,1
SC01,9606823,ZT,115
SC01,9680244,ZT,2
SC01,3604400,ZT,3
SC01,9601041,ZT,1
SC01,3613702,ZT,39
SC01,9663012,ZT,8
SC01,3606639,ZT,32
SC01,3602035,ZT,20
SC01,3630054,ZT,1
SC01,3601123,ZT,2
SC01,9601050,ZT,7
SC01,3605435,ZT,499
SC01,9630053,ZT,110
SC01,3605424,ZT,91
SC01,9601036,ZT,29
SC01,3613701,ZT,63
SC01,9680205,ZT,7
SC01,9660915,ZT,7
SC01,9660906,ZT,1
SC01,9609935,ZT,110
SC01,9663502,ZT,8
SC01,3606661,ZT,86
SC01,3613214,ZT,43
SC01,9602113,ZT,9
SC01,9662319,ZT,7
SC01,9011390,ZT,110
SC01,9619251,ZT,14
SC01,3606645,ZT,190
SC01,3634982,ZT,23
SC01,9635551,ZT,8
SC01,9602908,ZT,30
SC01,9601087,ST,2
SC01,9601032,ZT,290
SC01,9613736,ZT,1186
SC01,9609903,ZT,110
SC01,9619005,ZT,339
SC01,9613735,ZT,2
SC01,3613215,ZT,5
SC01,3613123,ZT,26
SC01,9634983,ZT,4
SC01,9609938,ZT,110
SC01,3680804,ZT,15
SC01,3601009,ZT,21
SC01,9660020,ZT,7
SC01,9609902,ZT,220
SC01,9606853,ZT,112
SC01,9613719,ZT,18
SC01,9601051,ZT,80
SC01,9619279,ZT,47
SC01,3602020,ZT,17
SC01,9666007,ZT,1
SC01,9606829,ZT,14
SC01,3605418,ZT,18
SC01,9630022,ZT,8
SC01,9661917,ZT,7
SC01,3606660,ZT,7
SC01,9619255,ZT,346
SC01,9601028,ZT,1
SC01,9681813,ZT,2
SC01,9661905,ZT,7
SC01,3602909,ZT,9
SC01,3661907,ZT,32
SC01,9630021,ZT,110
SC01,3606609,ZT,45
SC01,3680600,ZT,121
SC01,9680104,ZT,25
SC01,9681808,ZT,7
SC01,9609925,ZT,1
SC01,3601018,ZT,4
SC01,3613712,ZT,1
SC01,3613234,ZT,1
SC01,3601046,ZT,32
SC01,9660916,ZT,118
SC01,9661922,ZT,7
SC01,9619200,ZT,8
SC01,9609967,ZT,7
SC01,9665027,ZT,1
SC01,9609924,ZT,330
SC01,3602148,ZT,1
SC01,9663016,ZT,1
SC01,9606824,ZT,31
SC01,3602022,ZT,2
SC01,3601045,ZT,66
SC01,3605439,ZT,16
SC01,9680207,ZT,7
SC01,3603822,ZT,165
SC01,9680412,ZT,8
SC01,9660200,ZT,8
SC01,9609937,ZT,330
SC01,3601013,ZT,1
SC01,9606830,ZT,58
SC01,3636250,ZT,142
SC01,9681814,ST,2
SC01,9681807,ZT,7
SC01,9680234,ZT,2
SC01,3635202,ZT,1
SC01,3602921,ZT,1
SC01,3613724,ZT,370
SC01,9665033,ZT,1
SC01,9663003,ZT,7
SC01,3601042,ZT,16
SC01,9635350,ZT,1
SC01,9660012,ZT,110
SC01,9602923,ZT,14
SC01,3630022,ZT,1
SC01,9660007,ZT,7
SC01,9661920,ZT,7
SC01,9680239,ZT,8
SC01,7025100,ZT,51
SC01,3603823,ZT,14
SC01,9601057,ZT,1
SC01,3615433,ZT,14
SC01,9660026,ST,1
SC01,9619003,ZT,48
SC01,3601048,ZT,192
SC01,9680105,ZT,110
SC01,9680206,ZT,9
PR11,2TP01,ST,12
SC01,9613121,ZT,4
SC01,3602920,ZT,28
SC01,9601044,ZT,101
SC01,9601117,ZT,2
SC01,9613714,ZT,154
SC01,9613725,ZT,770
SC01,3606641,ZT,16
SC01,3631213,ST,7
SC01,9613743,ZT,175
SC01,3602024,ZT,18
SC01,6001233,ZT,1
SC01,9011290,ZT,15
SC01,9665026,ZT,1
SC01,9680227,ZT,118
SC01,2138100,ST,1
SC01,9606825,ZT,96
SC01,3613120,ZT,32
SC01,9680409,ZT,1
SC01,9606837,ZT,46
SC01,3613626,ZT,74
SC01,9613739,ZT,129
SC01,3603820,ZT,48
SC01,3660013,ZT,1
SC01,9602917,ZT,14
SC01,9680230,ZT,16
SC01,3602929,ZT,2
SC01,9601052,ZT,1
SC01,3619210,ZT,2
SC01,3613713,ZT,49
SC01,9011091,ZT,8
SC01,9609921,ZT,110
SC01,9613709,ZT,67
SC01,9609928,ZT,220
SC01,3660916,ZT,7
SC01,9601038,ZT,417
SC01,3605423,ZT,21
SC01,3613257,ZT,16
SC01,9606851,ZT,7
SC01,3603818,ZT,26
SC01,3631212,ZT,14
SC01,3613223,ZT,21
SC01,9609916,ZT,110
SC01,9601019,ZT,110
SC01,3662309,ZT,7
SC01,9601048,ZT,2
SC01,9012090,ZT,1
SC01,9606814,ZT,112
SC01,9601046,ZT,2
SC01,9619002,ZT,1095
SC01,3619254,ZT,24
SC01,9680250,ZT,4
SC01,9019090,ZT,1
SC01,3602130,ZT,7
SC01,9680208,ZT,7
SC01,3601028,ZT,178
SC01,9680224,ST,1
SC01,9663501,ZT,110
SC01,3601019,ZT,192
SC01,3605429,ZT,36
SC01,9681810,ZT,8
SC01,3660912,ZT,1
SC01,3605422,ZT,105
SC01,9609936,ZT,110
SC01,9619263,ZT,550
SC01,9662314,ST,1
SC01,3635552,ZT,2
SC01,9665016,ZT,8
SC01,6012190,ZT,1
SC01,3606846,ZT,6
SC01,9606836,ZT,14
SC01,3602928,ZT,1
SC01,9635506,ZT,112
SC01,3601049,ZT,8
SC01,3601014,ZT,45
SC01,9606726,ZT,21
SC01,9601045,ZT,1
SC01,9680110,ZT,15
SC01,3630056,ZT,66
SC01,3661909,ZT,7
SC01,9666005,ZT,1
SC01,3601016,ZT,59
SC01,9001090,ZT,2
SC01,3609912,ZT,14
SC01,9012190,ZT,4
SC01,9661918,ZT,15
SC01,9680229,ZT,15
SC01,3631214,ZT,7
SC01,3609911,ZT,63
SC01,9009090,ZT,1
SC01,9680226,ZT,14
SC01,9680221,ZT,110
SC01,3606840,ZT,72
SC01,9680100,ZT,153
SC01,3630055,ZT,16
SC01,9619253,ZT,211
SC01,3601051,ZT,2
SC01,9606850,ZT,21
SC01,9613749,ST,2
SC01,9630020,ZT,8
SC01,3635201,ZT,6
SC01,9660022,ZT,8
SC01,9619269,ZT,110
SC01,9619267,ZT,24
SC01,9680405,ZT,8
SC01,9635552,ZT,48
SC01,3602930,ZT,14
SC01,3606622,ZT,39
SC01,3602926,ZT,16
SC01,9613700,ZT,9
SC01,9680408,ZT,8
SC01,3613022,ZT,7
SC01,9661900,ZT,2
SC01,9660014,ZT,14
SC01,9609926,ZT,14
SC01,9613334,ZT,39
SC01,3681801,ZT,42
SC01,9613217,ZT,122
SC01,9680407,ZT,1
SC01,3619006,ZT,21
SC01,9606645,ZT,16
SC01,9613248,ZT,28
SC01,9619275,ZT,2
SC01,3662311,ZT,7
SC01,9609929,ZT,110
SC01,9661913,ZT,8
SC01,3613122,ZT,80
SC01,9613702,ZT,305
SC01,3635250,ZT,9
SC01,9663013,ZT,2
SC01,3680106,ZT,15
SC01,3635507,ZT,7
SC01,9619258,ZT,440
SC01,9635508,ZT,8
SC01,9609933,ZT,110
SC01,9661910,ZT,14
SC01,9619250,ZT,274
SC01,3603800,ZT,10
SC01,3680105,ZT,271
SC01,9613236,ZT,21
SC01,3606628,ZT,393
SC01,9619256,ZT,28
SC01,3602919,ZT,6
SC01,9613701,ZT,26
SC01,9634951,ZT,14
SC01,3635253,ZT,7
SC01,9663010,ZT,16
SC01,9606833,ZT,8
SC01,3604135,ZT,1
SC01,9680415,ZT,1
SC01,3613700,ZT,2
SC01,9680111,ZT,48
SC01,9681806,ZT,7
SC01,3603819,ZT,96
SC01,9601033,ZT,118
SC01,9609949,ZT,110
SC01,9663011,ZT,1
SC01,9619257,ZT,110
SC01,3619256,ZT,137
SC01,3615704,ZT,21
SC01,3619008,ZT,261
SC01,9619287,ST,3
SC01,9661908,ZT,22
SC01,3613736,ZT,88
SC01,9665023,ZT,1
SC01,3619251,ZT,685
SC01,3606635,ZT,350
SC01,3602940,ZT,7
SC01,9660003,ZT,1
SC01,9619261,ZT,3
SC01,3619203,ZT,3
SC01,9613716,ZT,374
SC01,9619262,ZT,791
SC01,9680223,ZT,7
SC01,9681000,ZT,7
SC01,9011190,ZT,8
SC01,3634952,ZT,8
SC01,3635251,ZT,9
SC01,3605426,ZT,27
SC01,9619004,ZT,440
SC01,3606638,ZT,1160
SC01,9680108,ZT,32
